year,month,actual_mackerel_ton,predicted_mackerel_ton,error_ton,absolute_error_ton
2564,1,41.0,9.59792608059452,-31.40207391940548,31.40207391940548
2564,2,0.0,3.848412984927653,3.848412984927653,3.848412984927653
2564,3,8.0,10.85685979162099,2.8568597916209892,2.8568597916209892
2564,4,5.0,7.002276576325285,2.0022765763252854,2.0022765763252854
2564,5,43.0,0.0,-43.0,43.0
2564,6,41.0,1.6420995938784544,-39.357900406121544,39.357900406121544
2564,7,137.0,0.6305362236928397,-136.36946377630716,136.36946377630716
2564,8,74.0,1.979121693449578,-72.02087830655043,72.02087830655043
2564,9,115.0,7.03607421733554,-107.96392578266446,107.96392578266446
2564,10,67.0,6.2079374060243495,-60.79206259397565,60.79206259397565
2564,11,0.0,1.1451899307781952,1.1451899307781952,1.1451899307781952
2564,12,22.0,3.243817854022119,-18.75618214597788,18.75618214597788
2565,1,41.0,46.368902340823304,5.368902340823304,5.368902340823304
2565,2,29.0,29.373169967356123,0.37316996735612307,0.37316996735612307
2565,3,4.0,52.20248415568817,48.20248415568817,48.20248415568817
2565,4,4.0,47.50884765830998,43.50884765830998,43.50884765830998
2565,5,0.0,45.700891751552845,45.700891751552845,45.700891751552845
2565,6,8.0,36.26934872204839,28.26934872204839,28.26934872204839
2565,7,0.0,59.88701068625011,59.88701068625011,59.88701068625011
2565,8,0.0,59.20049796178448,59.20049796178448,59.20049796178448
2565,9,2.0,59.03781591501553,57.03781591501553,57.03781591501553
2565,10,140.0,64.13465039333634,-75.86534960666366,75.86534960666366
2565,11,294.0,59.366649681804695,-234.6333503181953,234.6333503181953
2565,12,53.0,67.94973076632118,14.949730766321181,14.949730766321181
2566,1,55.0,66.60655253795,11.606552537949995,11.606552537949995
2566,2,42.0,17.775920864584375,-24.224079135415625,24.224079135415625
2566,3,28.0,38.30306461700702,10.303064617007017,10.303064617007017
2566,4,22.0,42.62639773010861,20.626397730108607,20.626397730108607
2566,5,43.0,36.86139149353603,-6.138608506463967,6.138608506463967
2566,6,46.0,41.73453261770001,-4.265467382299988,4.265467382299988
2566,7,118.0,81.48981076471222,-36.51018923528778,36.51018923528778
2566,8,127.0,85.65884136027525,-41.34115863972475,41.34115863972475
2566,9,130.0,128.6588458094829,-1.341154190517102,1.341154190517102
2566,10,204.0,83.82611707736557,-120.17388292263443,120.17388292263443
2566,11,180.0,58.06660606713812,-121.93339393286189,121.93339393286189
2566,12,127.0,50.89191906008158,-76.10808093991842,76.10808093991842
